Code,Age,Mass (kg),Height (cm),Best OSI,Group Cat
y01,20,57.2,154,0.6,young
y02,19,53.6,159.2,0.6,young
y03,19,54,159.5,0.7,young
y04,19,45,156.4,0.4,young
y05,19,51.9,166.8,0.2,young
y06,20,50.8,154.5,0.7,young
y07,25,68.2,175.2,0.5,young
y08,24,61.1,162,0.5,young
y09,19,53.9,150.5,0.3,young
y10,20,61.6,163.3,0.3,young
y11,20,57.7,166.6,0.4,young
y12,24,59.6,158,0.4,young
o01,58,68.7,164.9,0.5,old
o02,74,47.4,156,0.4,old
o03,59,70.9,161.6,0.6,old
o04,72,67.3,177.5,0.4,old
o05,72,57.7,150.3,0.5,old
o06,59,91.7,176,0.6,old
o07,68,45.8,153.5,0.3,old
o08,61,50.7,147.9,0.4,old
o09,59,64.3,162.8,0.5,old
o10,65,65.8,165.9,0.6,old
o11,66,50.3,160,0.4,old
o12,64,49.3,161,0.7,old
